Match,Venue,Times,Country,Against_Country,Scored_total,Player,Bat_Status_,Runs_scored,Ball_scored,scored_4s,scored_6s,scored_SR,Overs_Conseded,MOvers_Conseded,Runs_Conseded,Wickets_Conseded,NB_Conseded,WD_Conseded,ECO_Conseded
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",Canada,United States, 194-5 (20 Ov) ,Aaron Johnson,c NR Kumar b Harmeet Singh,23.0,16.0,5.0,0.0,143.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",Canada,United States, 194-5 (20 Ov) ,Navneet Dhaliwal,c Jessy Singh b CJ Anderson,61.0,44.0,6.0,3.0,138.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",Canada,United States, 194-5 (20 Ov) ,Pargat Singh,run out (Jessy Singh/Monank Patel),5.0,7.0,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",Canada,United States, 194-5 (20 Ov) ,Nicholas Kirton,c CJ Anderson b Ali Khan,51.0,31.0,3.0,2.0,164.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",Canada,United States, 194-5 (20 Ov) ,Shreyas Movva (wk),not out,32.0,16.0,2.0,2.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",Canada,United States, 194-5 (20 Ov) ,Dilpreet Singh,run out (Steven Taylor/Monank Patel),11.0,5.0,1.0,1.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",Canada,United States, 194-5 (20 Ov) ,Dillon Heyliger,not out,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",United States,Canada, 197-3 (17.4 Ov) ,Steven Taylor,lbw b Kaleem Sana,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",United States,Canada, 197-3 (17.4 Ov) ,Monank Patel (c & wk),c Shreyas Movva b Dillon Heyliger,16.0,16.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",United States,Canada, 197-3 (17.4 Ov) ,Andries Gous,c Aaron Johnson b Nikhil Dutta,65.0,46.0,7.0,3.0,141.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",United States,Canada, 197-3 (17.4 Ov) ,Aaron Jones,not out,94.0,40.0,4.0,10.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",United States,Canada, 197-3 (17.4 Ov) ,Corey Anderson,not out,3.0,5.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",Papua New Guinea,West Indies, 136-8 (20 Ov) ,Tony Ura,c Pooran b Romario Shepherd,2.0,5.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",Papua New Guinea,West Indies, 136-8 (20 Ov) ,Assad Vala (c),c Roston Chase b Alzarri Joseph,21.0,22.0,2.0,1.0,95.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",Papua New Guinea,West Indies, 136-8 (20 Ov) ,Lega Siaka,b Akeal Hosein,1.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
